Etablissement,Ville,Département,Sélectif,Type de formation,Filière sélectionnée
IMS Nantes,Nantes,44.0,True,BTS,Assurance
Lycée St Pierre La Joliverie,Saint-Sébastien-sur-Loire,44.0,True,BTS,Comptabilité et gestion
SEGT LPP LE MASLE,Saint-Nazaire,44.0,True,BTS,Négociation et digitalisation de la Relation Client
SEGT LPP LE MASLE,Saint-Nazaire,44.0,True,BTS,Gestion de la PME
Lycée général et technologique Albert Camus,Nantes,44.0,True,BTS,Comptabilité et gestion
Lycée Agricole Charles PEGUY,Gorges,44.0,True,BTS,Technico-commercial - Spécialité univers jardins et animaux de compagnie
I.U.T. Saint-Nazaire,Saint-Nazaire,44.0,True,BUT,Techniques de commercialisation
Nantes Université,Nantes,44.0,False,Licence,LLCER : Espagnol Monolingue et Bilingue
Nantes Université,Nantes,44.0,False,Licence,Bilingue
Nantes Université,Nantes,44.0,False,Licence,Philosophie
Nantes Université,Nantes,44.0,False,Licence,Droit
Lycée Polyvalent les Bourdonnieres,Nantes,44.0,True,BTS,Management Commercial Opérationnel
Lycée professionnel Agricole Nantes Le Grand Blottereau,Nantes,44.0,True,BTS,"Métiers du Végétal : Alimentation, Ornement, Environnement"
ENC-ENSEC,Nantes,44.0,True,BTS,Comptabilité et gestion
Lycée polyvalent Nicolas Appert,Orvault,44.0,True,Autre formation,Hôtellerie restauration
Lycée des Métiers Durzy,Villemandeur,45.0,True,BTS,Conception de produits industriels
Lycée des Métiers Durzy,Villemandeur,45.0,True,BTS,Electrotechnique
Lycée BENJAMIN FRANKLIN,Orléans,45.0,True,CPGE,PTSI
I.U.T d'Orléans,Orléans,45.0,True,BUT,Génie mécanique et productique
I.U.T d'Orléans,Orléans,45.0,True,BUT,"Qualité, logistique industrielle et organisation"
I.U.T d'Orléans,Orléans,45.0,True,BUT,Gestion des entreprises et des administrations
Lycée agricole Le Chesnoy - Les Barres,Amilly,45.0,True,CPGE,BCPST
Lycée agricole Le Chesnoy - Les Barres,Amilly,45.0,True,BTS,génie des équipements agricoles
Lycée Saint-Paul Bourdon Blanc,Orléans,45.0,True,BTS,Comptabilité et gestion
Lycée Voltaire,Orléans,45.0,True,CPGE,ECT - Option technologique
Lycée Sainte-Croix Saint-Euverte,Orléans,45.0,True,BTS,Conception et Réalisation de Systèmes Automatiques
Lycée Jacques Monod,Saint-Jean-de-Braye,45.0,True,BTS,Biotechnologies
Lycée agricole Le Chesnoy-Les Barres,Nogent-sur-Vernisson,45.0,True,BTS,Gestion et protection de la nature
Lycée agricole Le Chesnoy-Les Barres,Nogent-sur-Vernisson,45.0,True,BTS,Gestion forestière
Lycée Louis Vicat,Souillac,46.0,True,BTS,Bâtiment
L.E.G.T.A. la Vinadie,Figeac,46.0,True,BTS,"Analyse, conduite et stratégie de l'entreprise agricole"
